x, y
-15.603851444291609, -5.661103047895501
-14.10729023383769, -5.777213352685051
-12.65474552957359, -5.87155297532656
-11.15818431911967, -5.994920174165458
-9.66162310866575, -6.183599419448476
-8.077028885832187, -6.452104499274311
-6.6244841815680875, -6.531930333817126
-5.1279229711141685, -6.967343976777939
-3.6313617606602477, -7.315674891146589
-2.134800550206327, -7.990566037735849
2.3548830811554318, -7.562409288824383
3.719394773039891, -6.989114658925979
5.17193947730399, -6.502902757619738
6.712517193947729, -6.212626995645863
8.121045392022008, -5.936865021770682
9.66162310866575, -5.798984034833092
11.070151306740026, -5.610304789550073
12.522696011004125, -5.370827285921625
14.107290233837688, -5.312772133526851
