x, y
-0.2387473598153706, 232.54978072484622
-0.2093528285653706, 194.80173662673238
-0.18062629460790713, 156.52015542214514
-0.14855946837486958, 121.89135874694358
-0.11983298538622132, 91.04919751180407
-0.08910230664470252, 63.889560724873576
-0.05903967616453551, 39.976981218716354
-0.028977045684368513, 18.49134393828071
0.029812118753261924, 17.922297333083606
0.06121084575613256, 36.77990397518349
0.09060542797494775, 60.01787993372707
0.12066805845511475, 90.10546495134015
0.15006264067393005, 123.16795648935236
0.18079331941544885, 164.8901467319393
0.2108559498956158, 211.73462501129814
0.24091858037578284, 263.5206241543678
