x, y
-14.156378600823045, -5.332127351664255
-12.663923182441701, -5.440665701881332
-11.171467764060356, -5.4623733719247465
-9.635116598079563, -5.672214182344429
-8.098765432098766, -5.9688856729377715
-6.694101508916324, -6.142547033285094
-5.245541838134432, -6.4609261939218525
-3.6652949245541855, -6.808248914616498
-2.1289437585733886, -7.618668596237337
2.1289437585733886, -7.350940665701882
3.5775034293552785, -6.764833574529668
5.1138545953360754, -6.381331403762663
6.562414266117969, -6.135311143270623
7.967078189300409, -5.780752532561506
9.459533607681752, -5.563675832127352
10.864197530864196, -5.440665701881332
12.31275720164609, -5.267004341534009
13.849108367626883, -5.078871201157742
