x, y
-15.653116531165312, -5.511396011396011
-14.222222222222221, -5.582621082621083
-12.747967479674797, -5.668091168091168
-11.1869918699187, -5.782051282051282
-9.75609756097561, -5.917378917378917
-8.238482384823849, -6.173789173789174
-6.764227642276422, -6.316239316239316
-5.289972899728998, -6.565527065527066
-3.8157181571815713, -7.064102564102564
-2.2981029810298104, -7.712250712250713
2.1680216802168033, -7.1424501424501425
3.512195121951219, -6.8076923076923075
4.943089430894307, -6.280626780626781
6.417344173441734, -6.2094017094017095
7.89159891598916, -5.732193732193732
9.495934959349594, -5.611111111111111
10.883468834688347, -5.482905982905983
12.271002710027101, -5.212250712250712
13.745257452574524, -5.112535612535613
