Overpotential,Ln(k)
-15.533696977967727, -5.523076977751741
-15.533696977967727, -5.523076977751741
-14.775956095823524, -5.584615378596139
-14.775956095823524, -5.584615378596139
-13.989070649442116, -5.661538453011197
-13.989070649442116, -5.661538453011197
-13.202185203060706, -5.6769231265818565
-12.415300868430746, -5.746153717492463
-12.415300868430746, -5.7538462009969145
-11.59927085781213, -5.915384539893239
-10.841529975667928, -5.923076729959448
-10.083787981772279, -5.9999998043745055
-9.267760194656562, -6.199999973916601
-8.539162764998117, -6.199999973916601
-7.752276206865259, -6.223076837553469
-6.965391872235299, -6.315384585539187
-6.178505314102443, -6.6000000195625494
-5.071038555123344, -6.969230718067179
-4.37158457795066, -7.169230594171032
-3.6138436958064606, -7.446153838128185
-2.826957137673599, -7.838461987146166
-2.040072803043641, -8.415384751820858
-1.6903469262087505, -8.792307346953454
2.0109293505578876, -7.769230515920834
2.768670232702089, -7.223077391825704
3.5555545673320452, -6.984615391637838
4.371584577950664, -6.576922862487439
5.100182007609103, -6.430769197161775
5.857922889753308, -6.261538374760999
6.615663771897509, -6.1153844159970925
7.460837235001886, -5.892307676256369
8.276867245620497, -5.707692180284935
9.034610351267599, -5.6384615893743275
9.821494685897555, -5.5615385149592695
10.57923334453886, -5.376923018987834
11.36612212617462, -5.376923018987834
12.182147689787438, -5.230769206943049
12.939890795434543, -5.115384595320462
13.785062035036013, -5.107692258535133
14.51365946469446, -5.146153795742661
