Temperature_C,Temperature_K,k01,C,lambda,SSE,R2,RMSE
30,303.15,0.00020872457815950644,0.5150207873075646,8.3,1.695968142053375,0.9435355701725374,0.17560120842685126
40,313.15,0.00020600773424809,0.6186108289437903,8.3,2.6352817366014385,0.9092431711449461,0.2169299482305553
50,323.15,0.00025102876028770474,0.6054162962364943,8.3,2.6831515325347426,0.9069642510909689,0.21696274773361046
